AUTO,distance,angle,Length,distance_2,angle_2,pre_monsoon1,post_monsoon1
1,400,232.408439540181,349,210,142.408439540188,275.187255859375,275.580261230469
1,400,232.408439540181,349,220,142.408439540188,275.132171630859,275.555908203125
1,400,232.408439540181,349,230,142.408439540188,275.212615966797,275.520721435547
1,400,232.408439540181,349,240,142.408439540188,275.155212402344,275.354553222656
1,400,232.408439540181,349,250,142.408439540188,275.219512939453,275.318450927734
1,400,232.408439540181,349,260,142.408439540188,275.318511962891,275.384490966797
1,400,232.408439540181,349,270,142.408439540188,275.469390869141,275.540985107422
1,400,232.408439540181,349,280,142.408439540188,275.661712646484,275.895446777344
1,400,232.408439540181,349,290,142.408439540188,275.817047119141,275.856597900391
1,400,232.408439540181,349,300,142.408439540188,275.789855957031,275.882232666016
1,400,232.408439540181,349,310,142.408439540188,275.821685791016,275.980041503906
1,400,232.408439540181,349,320,142.408439540188,275.99951171875,276.084289550781
1,400,232.408439540181,349,330,142.408439540188,276.191589355469,276.202270507812
1,400,232.408439540181,349,340,142.408439540188,277.176727294922,277.216918945312
1,450,225.940252582884,350,0,135.940252582897,276.768585205078,276.845245361328
1,450,225.940252582884,350,10,135.940252582897,275.437713623047,275.653442382812
1,450,225.940252582884,350,20,135.940252582897,274.919311523438,275.317565917969
1,450,225.940252582884,350,30,135.940252582897,275.017272949219,275.362030029297
1,450,225.940252582884,350,40,135.940252582897,275.33984375,275.675354003906
1,450,225.940252582884,350,50,135.940252582897,275.284393310547,275.639984130859
1,450,225.940252582884,350,60,135.940252582897,275.194244384766,275.461669921875
1,450,225.940252582884,350,70,135.940252582897,275.154022216797,275.495697021484
1,450,225.940252582884,350,80,135.940252582897,274.677520751953,275.170471191406
1,450,225.940252582884,350,90,135.940252582897,274.885192871094,275.148681640625
1,450,225.940252582884,350,100,135.940252582897,274.949584960938,275.229675292969
1,450,225.940252582884,350,110,135.940252582897,274.951141357422,275.334625244141
1,450,225.940252582884,350,120,135.940252582897,274.908111572266,275.226898193359
1,450,225.940252582884,350,130,135.940252582897,274.775756835938,275.086791992188
1,450,225.940252582884,350,140,135.940252582897,274.716278076172,274.971557617188
1,450,225.940252582884,350,150,135.940252582897,274.689239501953,274.878234863281
1,450,225.940252582884,350,160,135.940252582897,274.682647705078,274.8564453125
1,450,225.940252582884,350,170,135.940252582897,274.653839111328,274.845977783203
1,450,225.940252582884,350,180,135.940252582897,274.895904541016,274.926910400391
1,450,225.940252582884,350,190,135.940252582897,274.874572753906,275.090057373047
1,450,225.940252582884,350,200,135.940252582897,274.765625,275.160766601562
1,450,225.940252582884,350,210,135.940252582897,274.732513427734,275.129547119141
1,450,225.940252582884,350,220,135.940252582897,275.036254882812,275.364044189453
1,450,225.940252582884,350,230,135.940252582897,275.079528808594,275.373260498047
1,450,225.940252582884,350,240,135.940252582897,275.130065917969,275.366149902344
1,450,225.940252582884,350,250,135.940252582897,275.181396484375,275.387115478516
1,450,225.940252582884,350,260,135.940252582897,275.214477539062,275.398010253906
1,450,225.940252582884,350,270,135.940252582897,275.278228759766,275.442321777344
1,450,225.940252582884,350,280,135.940252582897,275.326568603516,275.463439941406
1,450,225.940252582884,350,290,135.940252582897,275.4580078125,275.486175537109
1,450,225.940252582884,350,300,135.940252582897,275.546722412109,275.560638427734
1,450,225.940252582884,350,310,135.940252582897,275.568756103516,275.614837646484
1,450,225.940252582884,350,320,135.940252582897,275.560882568359,275.710327148438
1,450,225.940252582884,350,330,135.940252582897,275.851226806641,275.941589355469
1,450,225.940252582884,350,340,135.940252582897,277.515838623047,277.523590087891
1,450,225.940252582884,350,350,135.940252582897,277.370788574219,277.418518066406
1,500,216.984645664925,356,0,126.984645664937,274.96337890625,275.099853515625
1,500,216.984645664925,356,10,126.984645664937,274.876190185547,275.010925292969
1,500,216.984645664925,356,20,126.984645664937,274.725158691406,274.861328125
1,500,216.984645664925,356,30,126.984645664937,274.646545410156,274.786743164062
1,500,216.984645664925,356,40,126.984645664937,274.57958984375,274.721405029297
1,500,216.984645664925,356,50,126.984645664937,274.553253173828,274.692993164062
1,500,216.984645664925,356,60,126.984645664937,274.523773193359,274.683471679688
1,500,216.984645664925,356,70,126.984645664937,274.536376953125,274.694213867188
1,500,216.984645664925,356,80,126.984645664937,274.534881591797,274.702606201172
1,500,216.984645664925,356,90,126.984645664937,274.559936523438,274.736724853516
1,500,216.984645664925,356,100,126.984645664937,274.584167480469,274.796661376953
1,500,216.984645664925,356,110,126.984645664937,274.490539550781,274.754577636719
1,500,216.984645664925,356,120,126.984645664937,274.432891845703,274.743591308594
1,500,216.984645664925,356,130,126.984645664937,274.376495361328,274.707427978516
1,500,216.984645664925,356,140,126.984645664937,274.294311523438,274.659545898438
1,500,216.984645664925,356,150,126.984645664937,274.241363525391,274.5498046875
1,500,216.984645664925,356,160,126.984645664937,274.320739746094,274.542846679688
1,500,216.984645664925,356,170,126.984645664937,274.324523925781,274.507904052734
1,500,216.984645664925,356,180,126.984645664937,274.324676513672,274.484741210938
1,500,216.984645664925,356,190,126.984645664937,274.415710449219,274.637237548828
